date,cpi_general,cpi_food,cpi_fuel,cpi_core,cpi_general_yoy,cpi_food_yoy,cpi_fuel_yoy,cpi_core_yoy,core_trend
2013-01-01,104.6,105.6,105.5,49.38842,,,,,
2013-02-01,105.3,106.6,106.0,49.59882,,,,,
2013-03-01,105.5,106.9,106.1,49.65527,,,,,
2013-04-01,106.1,107.7,106.5,49.86359,,,,,
2013-05-01,106.9,109.2,107.4,49.9192,,,,,
2013-06-01,109.3,112.2,108.3,50.89036,,,,,
2013-07-01,111.0,114.7,109.2,51.38967,,,,,
2013-08-01,112.4,116.6,109.7,51.88940000000001,,,,,
2013-09-01,113.7,118.3,110.5,52.36041,,,,,
2013-10-01,114.8,120.2,110.9,52.5668,,,,,
2013-11-01,116.3,122.6,111.6,52.92506,,,,,
2013-12-01,114.5,118.4,111.9,53.02154,,,,,
2014-01-01,113.6,115.8,112.2,53.28793999999999,8.604206500956014,9.659090909090915,6.350710900473944,7.895616016871965,7.631439762069582
2014-02-01,113.6,115.3,112.4,53.50276999999999,7.882241215574548,8.16135084427767,6.037735849056602,7.871054190402105,7.463754224022466
2014-03-01,114.2,116.1,112.5,53.73107000000001,8.24644549763034,8.606173994387255,6.032045240339312,8.208192201955612,7.297517093275613
2014-04-01,115.1,117.6,112.5,53.94662,8.482563619227147,9.19220055710306,5.633802816901401,8.188399591766249,7.132983300608476
2014-05-01,115.8,118.9,112.5,54.05343,8.325537885874645,8.882783882783896,4.748603351955305,8.28184345902978,6.970441823071641
2014-06-01,116.7,120.4,113.2,54.22236,6.770356816102474,7.308377896613183,4.524469067405357,6.547408978832148,6.810185909856749
2014-07-01,119.2,124.7,113.9,54.71365,7.387387387387401,8.718395815169998,4.304029304029311,6.468187088961641,6.652489468661232
2014-08-01,120.3,126.6,114.0,54.94002,7.028469750889665,8.576329331046306,3.919781221513219,5.879081276715459,6.497650504252468
2014-09-01,120.1,125.8,114.3,55.085080000000005,5.628847845206675,6.339814032121716,3.438914027149309,5.2036834700110335,6.3458642350877685
2014-10-01,120.1,125.4,114.7,55.24096,4.616724738675959,4.3261231281197965,3.426510369702429,5.087165283030348,6.197102291479604
2014-11-01,120.1,125.1,115.5,55.32457,3.267411865864145,2.039151712887444,3.4946236559139754,4.533787963584723,6.051032377619015
2014-12-01,119.4,123.6,115.7,55.29570000000001,4.279475982532754,4.391891891891886,3.3958891867738927,4.289124759484553,5.9063032295520985
2015-01-01,119.5,123.1,116.5,55.57057,5.193661971830998,6.303972366148525,3.832442067736186,4.283577109567394,5.7865571835852085
2015-02-01,119.7,123.1,117.7,55.690650000000005,5.369718309859173,6.764960971379019,4.71530249110319,4.089283601578031,5.668267565302993
2015-03-01,120.2,123.4,118.3,56.0138,5.25394045534151,6.287683031869085,5.155555555555558,4.248435774683057,5.550140671371343
2015-04-01,120.7,124.0,118.7,56.21338,4.865334491746309,5.442176870748305,5.511111111111111,4.2018573174742,5.429219588517708
2015-05-01,121.6,125.0,119.2,56.62378,5.008635578583753,5.130361648444071,5.955555555555558,4.755202398811687,5.302996671410867
2015-06-01,123.0,127.3,119.8,56.93433,5.398457583547556,5.730897009966762,5.830388692579502,5.001571307482755,5.175462016725531
2015-07-01,123.6,128.2,120.1,57.10368,3.691275167785224,2.806736166800317,5.443371378402095,4.368251798225842,5.064135164870994
