meeting_date,scraped_text,url
2018-02-07,"Minutes of the Monetary Policy Committee Meeting February 6-7, 2018",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=43195
2017-12-06,"Minutes of the Monetary Policy Committee Meeting December 5-6, 2017",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=42619
2017-10-04,"Minutes of the Monetary Policy Committee Meeting October 3-4, 2017",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=42012
2017-08-02,"Minutes of the Monetary Policy Committee Meeting August 1-2, 2017",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=41391
2017-06-07,"Minutes of the Monetary Policy Committee Meeting June 6-7, 2017",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=40823
2017-04-06,"Minutes of the Monetary Policy Committee Meeting April 5-6, 2017",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=40224
2019-02-07,"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=46358
2018-12-05,"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=45769
2018-10-05,"Minutes of the Monetary Policy Committee Meeting October 3-5, 2018",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=45282
2018-08-01,"Minutes of the Monetary Policy Committee Meeting July 30-August 1, 2018",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=44767
2018-06-06,"Minutes of the Monetary Policy Committee Meeting June 4-6, 2018",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=44252
2018-04-05,"Minutes of the Monetary Policy Committee Meeting April 4-5, 2018",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=43715
2020-02-03,"Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=49424
2019-12-02,"Minutes of the Monetary Policy Committee Meeting December 3 to 5, 2019",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=48916
2019-10-04,"Minutes of the Monetary Policy Committee Meeting October 1, 3 and 4, 2019",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=48440
2019-08-07,"Minutes of the Monetary Policy Committee Meeting August 5-7, 2019",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=47941
2019-06-06,"Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=47359
2019-04-04,"Minutes of the Monetary Policy Committee Meeting April 2-4, 2019",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=46838
2021-02-05,"Minutes of the Monetary Policy Committee Meeting February 3-5, 2021",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=51161
2020-12-04,"Minutes of the Monetary Policy Committee Meeting December 2 to 4, 2020",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=50831
2020-10-09,"Minutes of the Monetary Policy Committee Meeting October 7 to 9, 2020",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=50560
2020-08-06,"Minutes of the Monetary Policy Committee Meeting August 4 to 6, 2020",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=50240
2020-05-22,"Minutes of the Monetary Policy Committee Meeting May 20 to 22, 2020",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=49909
2020-03-27,"Minutes of the Monetary Policy Committee Meeting March 24, 26 and 27, 2020",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=49659
2022-02-10,"Minutes of the Monetary Policy Committee Meeting, February 8 to 10, 2022",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=53319
2021-12-08,"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=52843
2021-10-08,"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=52450
2021-08-06,"Minutes of the Monetary Policy Committee Meeting, August 4 to 6, 2021",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=52088
2021-06-04,"Minutes of the Monetary Policy Committee Meeting, June 2 to 4, 2021",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=51754
2021-04-07,"Minutes of the Monetary Policy Committee Meeting, April 5-7, 2021",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=51456
2023-02-08,"Minutes of the Monetary Policy Committee Meeting, February 6-8, 2023",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=55267
2022-12-07,"Minutes of the Monetary Policy Committee Meeting, December 5-7, 2022",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=54918
2022-09-30,"Minutes of the Monetary Policy Committee Meeting, September 28-30, 2022",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=54541
2022-08-05,"Minutes of the Monetary Policy Committee Meeting, August 3 to 5, 2022",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=54236
2022-06-08,"Minutes of the Monetary Policy Committee Meeting, June 6 to 8, 2022",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=53904
2022-05-04,"Minutes of the Monetary Policy Committee Meeting, May 2 and 4, 2022",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=53728
2022-04-08,"Minutes of the Monetary Policy Committee Meeting, April 6 to 8, 2022",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=53601
2024-02-08,"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57366
2023-12-08,"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2023",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=56982
2023-10-06,"Minutes of the Monetary Policy Committee Meeting, October 4 to 6, 2023",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=56606
2023-08-10,"Minutes of the Monetary Policy Committee Meeting, August 8 to 10, 2023",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=56252
2023-06-08,"Minutes of the Monetary Policy Committee Meeting, June 6 to 8, 2023",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=55899
2023-04-06,"Minutes of the Monetary Policy Committee Meeting, April 3, 5 and 6, 2023",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=55538
2025-02-07,"Minutes of the Monetary Policy Committee Meeting, February 5 to 7, 2025",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=59818
2024-12-06,"Minutes of the Monetary Policy Committee Meeting, December 4 to 6, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=59347
2024-10-09,"Minutes of the Monetary Policy Committee Meeting, October 7 to 9, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58958
2024-08-08,"Minutes of the Monetary Policy Committee Meeting, August 6 to 8, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58545
2024-06-07,"Minutes of the Monetary Policy Committee Meeting, June 5 to 7, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58136
2024-04-05,"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024",https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57735
2026-02-06,"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62261
2025-12-05,"Minutes of the Monetary Policy Committee Meeting, December 3 to 5, 2025",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61856
2025-10-01,"Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61433
2025-08-06,"Minutes of the Monetary Policy Committee Meeting, August 4 to 6, 2025",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61056
2025-06-06,"Minutes of the Monetary Policy Committee Meeting, June 4 to 6, 2025",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=60686
2025-04-09,"Minutes of the Monetary Policy Committee Meeting, April 7 to 9, 2025",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=60279
2026-06-05,"Minutes of the Monetary Policy Committee Meeting, June 3 to 5, 2026",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62974
2026-04-08,"Minutes of the Monetary Policy Committee Meeting, April 6 to 8, 2026",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62599
